cveID,vendorProject,product,vulnerabilityName,dateAdded,dueDate,knownRansomwareCampaignUse,healthcare_relevance_score,internet_facing_score,ransomware_score,technical_impact_score,remediation_urgency_score,operational_impact_score,total_priority_score,priority_level
CVE-2026-0257,Palo Alto Networks,PAN-OS,Palo Alto Networks PAN-OS Authentication Bypass Vulnerability,2026-05-29,2026-06-01,Known,3,2,3,3,2,3,16,Critical
CVE-2023-21529,Microsoft,Exchange Server,Microsoft Exchange Server Deserialization of Untrusted Data Vulnerability,2026-04-13,2026-04-27,Known,3,2,3,3,2,3,16,Critical
CVE-2026-20131,Cisco,Secure Firewall Management Center (FMC),Cisco Secure Firewall Management Center (FMC) Software and Cisco Security Cloud Control (SCC) Firewall Management Deserialization of Untrusted Data Vulnerability,2026-03-19,2026-03-22,Known,3,2,3,3,2,3,16,Critical
CVE-2026-50751,Check Point,Security Gateway,Check Point Security Gateway Improper Authentication Vulnerability,2026-06-08,2026-06-11,Known,0,2,3,3,2,3,13,Critical
CVE-2026-1731,BeyondTrust,Remote Support (RS) and Privileged Remote Access (PRA),BeyondTrust Remote Support (RS) and Privileged Remote Access (PRA) OS Command Injection Vulnerability,2026-02-13,2026-02-16,Known,0,2,3,3,2,3,13,Critical
CVE-2026-20182,Cisco,Catalyst SD-WAN,Cisco Catalyst SD-WAN Controller Authentication Bypass Vulnerability,2026-05-14,2026-05-17,Unknown,3,0,0,3,2,3,11,High
CVE-2026-35273,Oracle,PeopleSoft Enterprise PeopleTools,Oracle PeopleSoft Enterprise PeopleTools Missing Authentication for Critical Function Vulnerability,2026-06-12,2026-06-15,Known,3,0,3,0,2,2,10,High
CVE-2026-10520,Ivanti,Sentry,Ivanti Sentry OS Command Injection Vulnerability,2026-06-11,2026-06-14,Unknown,3,0,0,3,2,2,10,High
CVE-2022-0492,Linux,Kernel,Linux Kernel Improper Authentication Vulnerability,2026-06-02,2026-06-05,Unknown,3,0,0,3,2,2,10,High
CVE-2026-6973,Ivanti,Endpoint Manager Mobile (EPMM),Ivanti Endpoint Manager Mobile (EPMM) Improper Input Validation Vulnerability,2026-05-07,2026-05-10,Unknown,3,0,0,3,2,2,10,High
CVE-2026-31431,Linux,Kernel,Linux Kernel Incorrect Resource Transfer Between Spheres Vulnerability,2026-05-01,2026-05-15,Unknown,3,0,0,3,2,0,8,Moderate
CVE-2026-41940,WebPros,cPanel & WHM and WP2 (WordPress Squared),WebPros cPanel & WHM and WP2 (WordPress Squared) Missing Authentication for Critical Function Vulnerability,2026-04-30,2026-05-03,Known,0,0,3,3,2,0,8,Moderate
CVE-2026-33825,Microsoft,Defender,Microsoft Defender Insufficient Granularity of Access Control Vulnerability,2026-04-22,2026-05-06,Known,3,0,3,0,2,0,8,Moderate
CVE-2023-27351,PaperCut,NG/MF,PaperCut NG/MF Improper Authentication Vulnerability,2026-04-20,2026-05-04,Known,0,0,3,3,2,0,8,Moderate
CVE-2009-0238,Microsoft,Office,Microsoft Office Remote Code Execution,2026-04-14,2026-04-28,Unknown,3,0,0,3,2,0,8,Moderate
CVE-2012-1854,Microsoft,Visual Basic for Applications (VBA),Microsoft Visual Basic for Applications Insecure Library Loading Vulnerability,2026-04-13,2026-04-27,Unknown,3,0,0,3,2,0,8,Moderate
CVE-2025-60710,Microsoft,Windows,Microsoft Windows Link Following Vulnerability,2026-04-13,2026-04-27,Unknown,3,0,0,3,2,0,8,Moderate
CVE-2020-9715,Adobe,Acrobat,Adobe Acrobat Use-After-Free Vulnerability,2026-04-13,2026-04-27,Unknown,3,0,0,3,2,0,8,Moderate
CVE-2026-34621,Adobe,Acrobat and Reader,Adobe Acrobat and Reader Prototype Pollution Vulnerability,2026-04-13,2026-04-27,Unknown,3,0,0,3,2,0,8,Moderate
CVE-2026-1340,Ivanti,Endpoint Manager Mobile (EPMM),Ivanti Endpoint Manager Mobile (EPMM) Code Injection Vulnerability,2026-04-08,2026-04-11,Unknown,3,0,0,3,2,0,8,Moderate
CVE-2025-53521,F5,BIG-IP,F5 BIG-IP Stack-Based Buffer Overflow Vulnerability,2026-03-27,2026-03-30,Unknown,3,0,0,3,2,0,8,Moderate
CVE-2026-20963,Microsoft,SharePoint,Microsoft SharePoint Deserialization of Untrusted Data Vulnerability,2026-03-18,2026-03-21,Unknown,3,0,0,3,2,0,8,Moderate
CVE-2026-1603,Ivanti,Endpoint Manager (EPM),Ivanti Endpoint Manager (EPM) Authentication Bypass Vulnerability,2026-03-09,2026-03-23,Unknown,3,0,0,3,2,0,8,Moderate
CVE-2026-22719,Broadcom,VMware Aria Operations,Broadcom VMware Aria Operations Command Injection Vulnerability,2026-03-03,2026-03-24,Unknown,3,0,0,3,2,0,8,Moderate
CVE-2026-20127,Cisco,Catalyst SD-WAN Controller and Manager,Cisco Catalyst SD-WAN Controller and Manager Authentication Bypass Vulnerability,2026-02-25,2026-02-27,Unknown,3,0,0,3,2,0,8,Moderate
CVE-2008-0015,Microsoft,Windows,Microsoft Windows Video ActiveX Control Remote Code Execution Vulnerability,2026-02-17,2026-03-10,Unknown,3,0,0,3,2,0,8,Moderate
CVE-2025-11953,React Native Community,CLI,React Native Community CLI OS Command Injection Vulnerability,2026-02-05,2026-02-26,Unknown,3,0,0,3,2,0,8,Moderate
